Termo de Pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita,,,,
Kit sopa,1,1,00,0,00%,100,00%,00:01:07,3,00
Kit suco,1,1,00,0,00%,100,00%,00:15:05,17,00
light,1,1,00,0,00%,0,00%,00:53:21,27,00
Light,1,1,00,0,00%,100,00%,00:00:08,0,00
low carb,1,2,00,0,00%,0,00%,00:46:48,6,00
lowcarb,1,1,00,0,00%,0,00%,00:09:38,3,00
LOWCARB,1,1,00,0,00%,0,00%,00:18:19,22,00
macarrao,1,1,00,0,00%,100,00%,00:23:50,0,00
Marmita,1,1,00,0,00%,0,00%,00:13:11,18,00
Marmitas,1,1,00,0,00%,100,00%,00:00:09,0,00
Marmitas fit,1,1,00,0,00%,0,00%,00:09:41,4,00
MASSA,1,4,00,0,00%,0,00%,00:34:36,9,00
mercado,1,1,00,0,00%,0,00%,00:01:08,3,00
mi,1,1,00,0,00%,0,00%,00:04:28,11,00
Mu,1,1,00,0,00%,100,00%,00:00:11,0,00
muffin,1,1,00,0,00%,100,00%,00:01:13,1,00
Muffin,1,1,00,0,00%,0,00%,00:04:01,12,00
musa,1,1,00,0,00%,100,00%,00:00:31,2,00
não contem clutem,1,1,00,0,00%,100,00%,00:00:07,0,00
não contem glutem,1,1,00,0,00%,0,00%,00:00:09,2,00
nhoque,1,1,00,0,00%,0,00%,00:07:42,20,00
nhoque de aipim,1,1,00,0,00%,0,00%,01:24:10,29,00
Nhoque de batata,1,1,00,0,00%,100,00%,00:02:26,7,00
nhoque7,1,1,00,0,00%,100,00%,00:00:06,0,00
patel,1,1,00,0,00%,100,00%,00:00:12,0,00
Pizza,1,1,00,0,00%,0,00%,00:03:40,9,00
Porção arroz,1,2,00,0,00%,50,00%,00:31:23,32,00
Programa Maísa leve,1,1,00,0,00%,0,00%,00:02:31,3,00
Promo,1,1,00,0,00%,0,00%,00:15:08,10,00
Promoção,1,1,00,0,00%,0,00%,00:11:45,20,00
proteína,1,1,00,0,00%,0,00%,00:00:49,4,00
Queijo,1,1,00,0,00%,0,00%,00:03:56,7,00
quibe,1,1,00,100,00%,0,00%,00:00:00,0,00
Risoto,1,1,00,0,00%,0,00%,00:20:38,11,00
RISOTO,1,1,00,0,00%,0,00%,00:05:01,2,00
Risoto Integral de Frango com Legumes,1,1,00,0,00%,100,00%,00:16:13,2,00
Sache de fibras,1,1,00,0,00%,0,00%,00:01:16,5,00
Sachê fibras,1,1,00,0,00%,0,00%,00:04:24,6,00
Salada,1,1,00,0,00%,0,00%,00:00:31,2,00
Saladas,1,1,00,0,00%,0,00%,00:04:46,13,00
SNACK,1,2,00,0,00%,0,00%,01:04:22,39,00
snack de arroz com quinoa cebola e salsa,1,1,00,0,00%,0,00%,00:00:18,1,00
SNACKS,1,1,00,0,00%,100,00%,00:00:06,0,00
Sobremesa,1,1,00,0,00%,0,00%,00:16:29,4,00
Sopa detox,1,1,00,100,00%,0,00%,00:00:00,0,00
Sopas,1,1,00,0,00%,0,00%,00:10:47,9,00
Strogonof,1,1,00,0,00%,0,00%,00:01:47,6,00
suavi pan,1,1,00,0,00%,0,00%,00:17:48,14,00
Suco de abcaxi,1,1,00,0,00%,100,00%,00:00:12,0,00
Suco de laranja,1,1,00,0,00%,0,00%,00:00:39,6,00
Suco Detox maçã integral,1,1,00,0,00%,100,00%,00:00:04,0,00
Suco integral de maçã,1,1,00,0,00%,100,00%,00:00:16,0,00
suco laranja,1,1,00,100,00%,0,00%,00:00:00,0,00
suco verde,1,1,00,0,00%,0,00%,00:00:17,1,00
Sucões laranja,1,1,00,0,00%,0,00%,00:29:49,13,00
Sucos,1,1,00,0,00%,0,00%,00:00:24,1,00
Sucos Detox,1,9,00,0,00%,22,22%,00:17:09,6,00
SUPER,1,1,00,0,00%,0,00%,00:10:23,2,00
Teste de mecanismo de busca,1,1,00,0,00%,0,00%,00:31:40,6,00
TILAPIA,1,1,00,100,00%,0,00%,00:00:18,0,00
torta,1,2,00,0,00%,100,00%,00:00:20,0,00
Torta,1,1,00,0,00%,0,00%,00:01:24,9,00
Um,1,1,00,0,00%,100,00%,00:00:05,0,00
Vendeu,1,1,00,0,00%,100,00%,00:00:10,0,00
Vendi,1,1,00,0,00%,100,00%,00:00:19,1,00
zero glutem,1,1,00,0,00%,100,00%,00:00:15,0,00
